tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Intraplate,Dacite,66.29174,0.66208,16.49162,2.55854,0.64307,0.08518,3.2946,5.3169,0.16721,10.61181788,38.5,8.5,NA,5.5,73.50924897,433.7793531,28.64254942,378.5899318,32.3246831,65.82987781,32.19173201,6.710204651,1.83265601,2.827502301,0.446288823,8.798608381,7.112939818
Cont flood Basalt,Rhyolite,72.02,0.27,12.13,1.11,0.03,0.07,5.11,3.13,0.03,2.66,1.38,8.68,0.84,3.58,145,119,153,659,121,273,136,26.9,5.15,14.5,1.99,10.3,15.5
Intraplate,Rhyolite,68.99,0.71,13.75,1.32,1.5,0.05,3.79,2.88,0.17,3.5,37,8.7,4.8,3.3,182,184,9,481,159.81,299.11,99.85,10.38,1.41,0.48,0.08,11.85,46.43
Cont flood Basalt,Rhyolite,70.91,0.42,12.26,1,0.12,0.12,4.66,3.44,0.09,6.14,5.66,8.9,2.78,4.71,135,129,148,849,122,294,138,26.9,5.29,13.5,1.84,12.3,14.3
Convergent margin,Andesite,56,0.54,20.1,9.21,3.05,0.15,0.63,3.28,0.16,16.8,143,8.96,16.2,9.23,10.8,630,15.8,51,10.8,22.7,12.8,3.06,1.01,1.56,0.25,1.44,0.91
Convergent margin,Dacite,68.22,0.515,15.09,2.46,1.09,0.054,4.07,4.17,0.184,0.560170524,1.766202302,9,0.338319459,0.253375796,174.2675159,35.94550536,1.414662757,70.60276389,8.014864865,11.6745283,3.729769495,0.400123839,0.0557,0.332136223,0.0578,3.027058481,2.263789581
Archean craton,Rhyolite,73.89,0.27,10.93,6.39,0.75,0.18,2.27,0.43,0.05,8,3,9,2,2,48,56,44.25,458,35.48,88.12,45.01,10.41,1.88,6.42,1.04,13.99,4.29
Ocean island,Rhyolite,74.25,0.3,12.09,1.9,0.09,0.09,2.84,4.7,0.05,4,127,9,17,3,74.6,92.2,101,449,52.47,114.7,57.49,14.03,2.58,10.35,1.61,13.5,7.77
Backarc basin,Basalt,50.24,2.4,11.9,8.85,4.84,NA,0.12,3.17,0.18,41,639,9,50,20,3.6,83,65.9,155.1,4.68,15.43,15.54,5.49,2.13,7.26,1.15,4.32,0.29
Archean craton,Andesite,63.4,0.91,12.64,0.29,3.4,0.04,2.02,0.47,0.27,20.6,3,9,8,13,63,5,45,237,26.2,56.9,30.7,7.12,1.78,4.47,0.66,5.22,12.5
Archean craton,Dacite,71.2,0.2,16.7,2.8,1.3,0,2.2,4.4,0.06,2,14,9,11,7,65,319,4.51,75,5.4,11.3,5.8,1.12,0.46,0.44,0.07,2.2,0.7
Convergent margin,Dacite,66.73,0.63,15.86,3.48,1.26,0.09,3.05,4.5,0.18,6,58,9,7,4,88.2,311,25.6,243,35.3,62.1,23.7,4.57,1.02,2.71,0.42,5.47,12
Convergent margin,Andesite,55.4,1.11,18.35,7.41,3.36,0.14,1.41,4.24,0.27,23,195,9,22,14,34,571,20,144,16,38.4,20.2,4.15,1.4,2.1,0.29,3.67,3.07
Convergent margin,Andesite,56.3,0.9,17.7,6.65,2.63,0.21,1.38,3.76,0.12,24,164,9,17.8,4,18,446,18.2,78,9.9,23,15.1,4.4,1.17,2.45,0.36,2.8,1.9
Convergent margin,Rhyolite,71.78,0.205,14.14,0.77,0.47,0.097,5.337,2.76,0.06,2.22,27.9,9,2.83,1.4,99.1,284,12.3,62.7,15.5,33.5,13.2,2.42,0.581,1.24,0.199,2.4,10.9
Convergent margin,Rhyolite,71.62,0.26,15.19,0.04,0.54,0.03,3.32,5.92,0.01,4,14,9,0,5,48.8,84,58,312,21,50,26,5.76,0.74,6.1,0.94,9.45,5.74
Rift,Rhyolite,73.85,0.25,10.79,0.26,0.03,0.09,4.11,4.14,0.03,1.6,0.48,9.04,0.32,3.44,167,2,87,761,263,283,120,22.7,1.12,6.9,1.12,21,25
Archean craton,Rhyolite,71.15,0.31,10.94,0.08,2.12,0.14,2.43,0.17,0.07,3.3,17.74,9.08,9.2,4.81,33.6,20.4,9.5,167,13.85,30.11,14.1,2.58,0.353,1.06,0.161,4.4,3.31
Rift,Rhyolite,74.34,0.34,9.92,0.13,0.03,0.05,4.42,4.33,0,0.9,0.74,9.1,0.47,3.27,190,4,87,1069,30,50,24,8,0.58,10.8,1.59,30.1,33
Archean craton,Rhyolite,72.7,0.36,14.2,2.4,2.08,0.06,1.55,0.51,0.07,7.41,40,9.2,5.7,16,60,60,40,170,30.6,53,19,4.5,0.33,2.12,0.36,5.6,8.7
Convergent margin,Dacite,63.18,0.6,18.69,4.88,1.6,0.05,1.45,4.98,0.2,7.1,93.8,9.34,11.06,7.06,23,819,5.3,75.4,9.44,25.94,14.22,2.61,0.84,0.5,0.08,2.19,0.74
Intraplate,Dacite,65.78,0.49,18.56,0.85,1,0.04,4.65,3.28,0.15,7.2,58.4,9.34,6.82,3.63,149,149,21.4,231,26.1,48.5,20.5,4.1,1.1,2.6,0.4,5.6,11
Convergent margin,Andesite,56.3,0.54,20.6,8.66,2.71,0.14,0.72,3.41,0.12,15.6,147,9.55,16.1,8.04,11.4,668,2.82,54.6,11.4,24.3,13.5,3.19,1,1.61,0.25,1.56,0.94
Convergent margin,Andesite,52.6,0.84,19,9.16,4.6,0.18,1.01,3.51,0.12,23.97,191.16,9.61,28.49,13.64,20.42,452.74,16.45,55.83,6.75,15.63,10.21,2.81,0.92,1.7,0.26,1.68,1.8
Rift,Rhyolite,76.07,0.27,12.69,0.03,0.47,0.03,5.12,0.05,0.05,4.6,12,10,1.2,10,249,25,52,394,35,77,33,6.8,0.7,5.3,0.8,12,15
Cont flood Basalt,Andesite,56.8,2.25,14.4,6.2,2.8,0.2,1.45,4.1,0.59,19,187,10,21,14,38,358,60,384,37.3,88.1,53.5,13.1,3.9,4.23,0.7,7.6,4.2
Convergent margin,Dacite,64.44,0.37,16.29,4.21,0.8,0.1,2.91,2.92,0.16,4.8,53,10,NA,2.5,104,693,6,96,17.1,31,14.2,2.3,0.7,0.5,0.1,2.7,5
Convergent margin,Dacite,65.91,0.6,19.19,2.49,1.02,0.13,2.89,2.48,0.15,9,80,10,24,14,106,284,26,193,32.6,58,34,5.91,1.33,2.62,0.4,4.7,12.3
Convergent margin,Rhyolite,73.35,0.1,12.7,0.92,0.34,0.11,4.6,4.02,0.02,3,10,10,2,3,267,52,44.1,202,50,97,39,8.1,0.17,4.46,0.63,6.2,46.7
Archean craton,Dacite,71.72,0.56,11.25,2.92,0.98,0.13,0.64,4.12,0.1,12,3,10,11,4,8,104,110,521,31.4,77.51,44.88,13.12,3.36,12.18,1.85,12.13,4.69
Convergent margin,Andesite,53.88,1.02,19.63,8.8,2.79,0.13,0.96,3.97,0.13,24,189,10,22,6,22,369,25,82,10,25,16,4,1.26,2.7,0.4,3,2.5
Convergent margin,Dacite,64.8,0.764,15.9,3.9,1.85,0.062,3.16,4.57,0.275,NA,58,10,6,5,170,465,13,248,50,94,32,5.1,1.22,1.4,0.22,6.08,18.3
Archean craton,Rhyolite,70.89,0.22,11.13,0.71,1.88,0.09,0.9,2.45,0.05,2.2,11.39,10.14,10.15,5.06,18.43,46.3,10.9,181.2,14.91,33.49,14.63,2.73,0.479,1.34,0.207,4.6,3.26
Archean craton,Rhyolite,70.95,0.45,12.55,2.01,1.24,0.08,1.51,3.97,0.08,9.9,16.1,10.21,5.06,2.28,22.68,55.8,35.45,266.7,17.73,41.67,23.83,5.56,1.141,4.36,0.693,6.9,3.85
Intraplate,Dacite,63.03,1.22,16.1,3.14,1.54,0.13,3.7,3.4,1.13,9.66,63.2,10.4,50.8,8.02,168,539,23.2,557,142,256,96.6,14.3,2.76,1.47,0.197,14.7,30.1
Convergent margin,Andesite,53.2,0.81,18.7,9.08,4.66,0.15,1.05,3.44,0.23,23.29,191.06,10.41,28.11,13.43,22.88,447.83,16.52,59.38,7.26,16.55,10.65,2.89,0.95,1.79,0.27,1.8,2.12
Convergent margin,Dacite,68.45,0.75,14.64,2.85,0.89,0.13,2.51,5.05,0.17,14.4,12,10.5,5.89,22,65.3,194.8,51.2,333,28.4,66.4,33.6,8.02,1.67,5.62,0.85,7.79,7.76
Intraplate,Dacite,62.86,1.2,15.75,3.85,1.51,0.05,3.6,3.3,0.73,8.77,60.7,10.6,24,5.37,168.9,557.3,23.2,527,129,235,89.899,13.142,2.39,1.41,0.2,12.9,31.727
Intraplate,Dacite,69.17,0.656,14.63,3.257,1.352,0.107,1.434,4.103,0.238,17.41138178,108.569522,10.6833178,NA,5.04187794,23.4941,104.6240567,24.9415,162.639,14.8103,37.3176,22.6024,5.05511,1.17083,2.70005,0.422575,5.13105,2.12227
Convergent margin,Andesite,58.9,0.71,18.5,7.6,2.2,0.16,1.27,3.88,0.22,20.52,113.58,10.72,13.4,0.95,22.86,428.49,27.44,90.81,7.35,19,14.31,4.1,1.23,2.71,0.42,2.75,1.33
Intraplate,Rhyolite,71.54513004,0.387557369,15.22692504,1.907190209,0.265170831,0.0204,3.426823049,4.161142274,0.122386537,6.929026734,65.83706309,10.73021003,15.67013363,7.890021297,131.7439164,155.1070629,24.88216425,158.8612352,23.25269662,43.07867921,21.71798583,4.617135692,0.744338057,2.802089076,0.389321541,4.498173361,11.82252836
Intraplate,Dacite,64.21,1.4,15.09,3.66,1.5,0.02,3.5,3.4,0.77,8.95,68.7,10.8,22.2,5.1,170,558,23.4,522,127,228,90.4,13.6,2.42,1.63,0.199,12.9,34.7
Backarc basin,Basalt,53.08,1.99,15.12,7.97,4.21,0.2,0.47,4.02,0.42,30.9,NA,10.8,28.1,8.99,7.45,211,33.2,144,10.3,24.3,16.3,4.63,1.59,3.55,0.531,3.66,1.05
Convergent margin,Andesite,62.39,0.49,17.36,5.09,1.9,0.13,1.59,4.18,0.23,7,78,11,5,0,28,492,7,126,14.4,31.6,16.7,3.5,1.05,1.53,0.23,2.62,2.19
Convergent margin,Rhyolite,70.9,0.298,13.8,0.63,0.15,0.05,5.02,4.07,0.041,7.221250841,104.607721,11,13.23072769,5.046402152,58.70826833,535.3764157,8.855421687,128.7141905,20.48148148,39.50242718,18.00704035,3.250272331,0.845675676,0.890995907,0.136431784,3.868608195,6.206092029
Seamount,Dacite,67.21,0.4,14.15,4.44,0.99,0.1,0.54,5.22,0.08,NA,26,11,4,5,11,106,31,92,3.66,10.83,8.67,2.85,0.83,3.32,0.5,2.29,0.74
Cont flood Basalt,Rhyolite,52.86,2.49,12.84,8.09,4.39,0.19,1.06,3.22,0.3,34,334,11,48,19,35.6,348.1,48,253,32,65.5,17.83,4.228,2.37,3.8,0.56,6.27,2.09
Archean craton,Rhyolite,74.49,0.06,14.79,1.25,0.71,0.01,4.41,3.62,0.06,1.9,6,11,1,4,120,332,6,30,7.21,18,8.37,2.06,0.57,0.8,0.09,1.7,3.1
Convergent margin,Dacite,62.68,0.76,17.52,5.24,2.18,0.08,1.46,4.67,0.21,5.5,74,11,7.7,9,29,477,9.5,150,10.6,30,13.9,2.93,0.82,0.73,0.12,2.9,2.02
Convergent margin,Andesite,53.13,0.97,19.96,8.75,3.98,0.18,1.39,2.79,0.17,22.5,240,11,26,8,35.7,356,25.1,116,16.74,36.65,19.75,4.68,1.4,2.44,0.37,3.04,4.44
Convergent margin,Rhyolite,65.54,0.835,15.63,4.41,1.72,0.113,1.93,3.66,0.11,15,97,11,15,6,67.4,242,25.7,188,17.9,41.94,19.3,4.12,1.13,2.54,0.4,4.83,7.07
Convergent margin,Andesite,55.02,0.91,20.45,9.32,2.68,0.15,1.09,3.53,0.15,22,187,11,22,6,27,265,21,134,18,34,19,4.1,1.4,2.9,0.56,3.8,5.2
Convergent margin,Dacite,57.57128202,1.140380797,14.58099252,2.792057632,3.184106882,0.372201079,0.348472907,5.166798475,0.162788042,30.02798198,219.0902271,11.12941428,12.87860429,10.0788971,3.263891249,72.65539407,28.76718036,110.9820475,4.841274495,13.3853479,10.11259357,3.298189751,1.00662096,2.739427465,0.418153124,2.510868524,0.364013389
Intraplate,Andesite,52.17,0.98,16.59,8.13,5.71,0.28,0.17,5.14,0.18,31.8,231.49,11.13,45.01,14.32,1.92,302.37,20.82,64.46,5.04,13.32,9.83,2.91,0.97,2.36,0.36,1.93,0.71
Intraplate,Dacite,66.26789,0.67753,15.43681,2.02415,0.65385,0.08638,2.83508,5.46201,0.14578,13.20521102,31.9,11.2,NA,5.7,64.39361432,194.0970508,34.21965544,314.1502009,40.70598868,79.65655816,38.55593741,7.912124342,2.114965948,3.329456431,0.524961218,7.83607444,7.704690698
Intraplate,Rhyolite,74.7,0.31,13.28,1.75,0.72,0.03,1.87,4.74,0.09,3.46,29.6,11.2,4.28,3.51,44.7,223.2,5.66,245,35.8,60.5,19.3,2.66,0.88,0.41,0.06,6.64,2.04
Intraplate,Dacite,64.59,1.35,16.18,2.33,1.49,0.03,3.6,3.3,0.77,8.37,60.6,11.3,40.1,5.39,177,556,23.2,524,130,198,88.6,13.5,2.54,1.43,0.226,12.9,30.7
Intraplate,Dacite,66.56,0.43,15.56,4.07,1.67,0.01,2.06,4.4,0.21,7.52,65.95,11.5,8.43,8.43,23,1041,5,111,16.71,32.07,14.07,2.13,0.65,0.37,0.06,2.56,1.32
Convergent margin,Rhyolite,74.85,0.11,12.17,0.49,0.06,0.04,5.965,2.83,0.015,16.15,147,11.8,17.2,2,22,527,12,90,16.6,34,16,3.53,1.17,1.3,0.2,2.7,2.9
Convergent margin,Rhyolite,74.14,0.14,13.11,1.06,0.38,0.14,2.88,3.46,0.03,3,4,12,2,15,51,96,23,126,14.02,29.93,16,3.98,0.55,2.57,0.45,3.52,3.61
Archean craton,Rhyolite,77.47,0.21,14.02,1.5,1.31,0.12,3.26,0.46,0.06,3.33,13,12,2.46,12.7,86.8,136,6.78,85,31.9,62.5,22.2,3.11,0.648,0.445,0.061,2.63,8.44
Convergent margin,Dacite,73.44,0.35,12.67,2.46,0.72,0.07,1.949,5.26,0.068,14.5,12,12,NA,4,14.2,58,26.7,82,3.6,9,8.5,2.66,0.81,2.6,0.42,2.59,0.59
Convergent margin,Dacite,68.96,0.46,14.53,2.29,0.99,0.05,4.1,3.98,0.16,1.530678149,15.69207239,12,1.695028681,2.408890947,88.07861742,128.1453296,6.115461181,105.0195567,15.32673267,31.22274882,11.81906615,1.865959499,0.33040153,0.774267883,0.121692607,3.19694906,5.15651486
Intraplate,Dacite,66.39,0.57,14.95,1.72,1.75,0.12,2.95,5.82,0.22,8.28,67.67,12.04,6.65,6.84,50.49,1648.1,5,119,18.59,35.34,15.85,2.46,0.69,0.37,0.06,2.68,1.28
Intraplate,Dacite,65.42526422,0.392551585,17.45344741,4.539506794,1.187720181,0.0805,2.788122798,3.965777554,0.19124308,5.858502144,80.33884948,12.22419331,56.43166153,5.103106174,71.66517295,375.9381243,16.24165237,187.4777041,31.35154501,56.47207297,21.58987056,3.895306753,1.081680883,2.19306086,0.363097896,4.589267608,12.66857242
Archean craton,Rhyolite,73.96,0.22,13.25,0.68,0.8,0.02,4.78,1.27,0.03,8,15.39,12.3,2.89,6.92,110.9,20.6,44.09,351.6,35.67,80.22,41.03,8.44,1.298,5.15,0.817,9.3,6.5
Archean craton,Rhyolite,69.52,0.37,12.33,3.62,0.89,0.11,2.17,1.14,0.12,7.2,9.03,12.73,2.75,4.91,48.21,226,35.06,251.9,22.82,54.42,31.42,7.25,1.757,4.23,0.65,6.6,3.2
Convergent margin,Andesite,56.1,0.78,14.96,7.85,3.59,0.15,0.51,3.35,0.07,31,286,13,21,14,8.3,188.4,16.1,61,2.01,5.83,5.3,1.72,0.64,1.59,0.27,1.68,0.2
Archean craton,Andesite,54.89,1.37,16.94,5.44,5.64,0.15,1.61,5.3,0.22,28,300,13,35,65,41,137,31,190,17.9,37.3,26.6,5.56,1.73,3.62,0.48,4.6,2
Convergent margin,Dacite,62.16,0.52,15.47,4.2,2.15,0.04,1.73,2.34,0.03,18.9,NA,13,14,8,18,231,13,37,6.6,16,10,2.1,1.1,1.5,0.2,2,1.1
Convergent margin,Dacite,58.9,1.42,15.68,6.28,2.57,0.21,1.74,4.1,0.35,28,166,13,NA,2,41,336,46,192,17,37,24,7,1.94,4.46,0.7,5.45,3.89
Convergent margin,Andesite,54.17,1.38,18.09,7.88,3.02,0.17,1.45,3.67,0.37,NA,174,13,24,8,38.9,613,24.2,164,19.2,44.1,24.9,5.57,1.75,2.54,0.37,3.91,3.71
Intraplate,Dacite,62.24,1.37,15.53,4.88,1.26,0.14,3.7,3.4,0.93,7.92,69.7,13.6,18.2,6.81,163,617,22.8,538,132,246,93.7,13.7,2.76,1.46,0.19,14,33.1
Intraplate,Dacite,67.84,0.42,14.53,2.61,1.1,0.09,3.46,3.34,0.15,7.7,43,13.6,5.6,7.1,109.7,277,27.6,205,29.89,60.48,28.1,5.36,0.78,2.8,0.43,6.15,11.6
Intraplate,Dacite,70.53,0.24,15.94,3.13,0.69,0.04,2.04,4.6,0.09,3,24,13.7,3.4,2.6,65.4,506.8,4.7,90.2,12.6,23.1,8.6,1.41,0.42,0.49,0.08,2.4,5.1
Intraplate,Basalt,50.84,1.17,12.45,9.52,5.66,0.24,0.35,2.56,0.11,39.9,408,13.7,74.6,51.9,2.6,129,30.2,78.4,7.51,16.45,10.99,3,1.08,3.41,0.49,2.07,0.67
Convergent margin,Andesite,52.8,0.76,17.2,9.8,4.64,0.18,0.67,2.74,0.17,29.53,236.99,13.71,32.45,14.87,12.18,407.37,18.2,55.06,5.11,12.28,8.97,2.58,0.92,1.88,0.29,1.66,0.86
Archean craton,Rhyolite,69.12,0.52,12.03,2.48,0.72,0.1,1.47,4.25,0.07,6.7,20.9,13.72,5.31,5.34,37.4,93.5,109.31,475.1,43.01,99.57,56.66,13.96,2.825,12.06,1.814,13,4.84
Convergent margin,Andesite,52.06,0.61,21.12,7.76,3.96,0.19,0.25,2.8,0.13,16.573,101.459,13.761,17.047,8.405,5.492,607.761,13.806,68.289,7.377,17.233,10.576,2.731,0.999,1.49,0.234,2.033,1.46
Intraplate,Rhyolite,76.93,0.42,11.09,1.19,0.41,0.03,3.85,1.91,0.07,7.5,NA,13.86,3.2,2.99,126,253,32.5,246,50.7,100,42.7,8.74,1.74,3.19,0.44,7.8,22.9
Backarc basin,Basalt,53.3,1.43,14.96,8.75,4.39,0.18,0.35,3.13,0.18,29.5,312,14,31.8,15,6.97,149,34.7,77.6,4.13,11.71,10.01,3.46,1.25,3.48,0.54,2.24,0.335
Convergent margin,Dacite,65.98,0.46,16.99,4.53,2,0.07,1.62,4.68,0.16,8,85,14,NA,15,30.9,533,8.87,88,12.1,22.9,11.4,2.58,0.74,0.72,0.11,2.59,3.55
Archean craton,Dacite,70.21,0.4,12.33,3.48,0.28,0.17,0.44,4.71,0.06,9,1,14,8,2,9,292,101,439,32.94,76.18,43.62,13.01,3.78,11.29,1.74,10.13,4.34
Convergent margin,Dacite,63.42,0.56,18.25,3.63,0.91,0.06,4.73,2.84,0.23,NA,44,14,12.3,5,216,561,35,281,94.43,183.48,64.36,11.67,2.65,2.33,0.32,9.01,20.12
Rift,Rhyolite,69.38,0.33,15.89,0.15,0.89,0.05,5.35,4.44,0.05,5.49,5,14,NA,8,184,50,94,498,45.3,95.8,39,8.97,0.58,9.52,1.46,13.08,30
Convergent margin,Dacite,65.2,0.77,15.77,3.6,0.93,0.15,2.16,4.62,0.19,13,48,14,5,12,33,258,25,88,12,27.4,17.04,4.2,1.24,2.36,0.36,2.37,1.46
Intraplate,Dacite,64.25,0.29,14.36,3.34,2.98,0.04,1.02,3.26,0.04,25,122,14,13,5,NA,101,13,38,3.44,7.64,4.49,1.2,0.41,1.62,0.28,1.29,1.4
Intraplate,Rhyolite,76.96,0.43,10.46,1.71,0.36,0.04,3.59,1.82,0.09,8.8,NA,14.23,3.66,3.07,120,171,39.52,273,55.7,114,51.8,10.1,1.55,3.53,0.53,8.37,27.1
Convergent margin,Dacite,67.52,0.43,16.53,2.79,1.34,0.05,3.29,4.67,0.13,6.07,69,14.8,6.3,1,84,950,15,119,15.6,34,15,3.25,1.01,1,0.1,4.3,3.6
Backarc basin,Basalt,57.2,1.79,14.24,6.31,2.64,0.21,0.4,4.01,0.25,42.8,369,15,37,60,9.9,228,72.1,230.8,10.45,28.43,21.93,7.58,2.52,6.86,1.09,6.05,0.712
Cont flood Basalt,Andesite,55.7,2.42,13.6,6.2,3.2,0.18,1.48,3.9,0.5,22,201,15,24,16,42,317,53,342,34.9,74.4,45.8,10.7,3.5,4.63,0.69,8.1,4.5
Convergent margin,Andesite,57.11,1.39,16.84,5.95,3.24,0.1,2.97,4.31,0.52,10.42,143,15,21.81,12,54,1000,14,257,48.3,96,29,5.8,2.16,1.11,0.18,5.67,4.7
Convergent margin,Andesite,52.12,0.9,16.55,8.52,3.25,0.15,2.7,2.85,0.33,28.61,262,15,25,7,76.9,638,21.7,122,25.3,53,29.5,6.01,1.45,2.3,0.32,3.62,11.51
Convergent margin,Andesite,59.29,1.17,16.82,6.17,2.56,0.19,0.78,4.8,0.18,30.4,177,15,24,9,19,185,46.3,121,7.6,19.2,14.7,5.06,1.76,4.73,0.77,3.62,1.69
Convergent margin,Andesite,62.64,0.57,17.49,4.87,1.54,0.11,1.9,4.42,0.26,11,73,15,8,0,34,506,20,134,15.3,33,18,3.8,1.1,1.64,0.25,3.39,2.8
Seamount,Dacite,70.97,0.5,14.77,2.6,0.32,0.08,2.05,4.54,0.12,6.92,52,15,2.35,3,17,208,23,146,9.01,19.2,NA,2.39,0.77,2.4,0.28,3.2,1.57
Convergent margin,Dacite,65.34,0.92,15.65,3.46,1.25,0.08,2.74,4.11,0.44,16.1,121,15,NA,5,85.8,418,25.2,265,28.8,58.5,27.5,5.9,1.2,2.1,0.3,5.6,9.1
Cont flood Basalt,Basalt,50.4,2.52,13.9,8.45,6.48,0.2,0.25,3.13,0.3,25,391,15,49.4,40,1.5,206.3,26.8,217.1,23.1,50.5,30.63,6.75,2.2,2.3,0.3,5.2,2.4
Archean craton,Rhyolite,69.04,0.46,15.55,0.73,1.07,0.03,1.58,6.31,0.34,14.8,21.26,15.25,2.6,5.23,35.7,110,51.5,300.4,33.92,85.17,51.67,11.9,1.686,6.11,0.972,8,5.01
Intraplate,Rhyolite,76.5,0.15,13.32,0.03,0.08,0.01,4.77,3.98,0.01,0.95,1.36,15.3,0.08,2.82,145,12.9,35.6,389,16.5,47,17.9,3.88,0.34,3.37,0.46,11.2,12.5
Archean craton,Rhyolite,68.87,0.45,12.32,0.94,3.27,0.07,1.55,2.33,0.08,2.7,45.27,15.54,9.06,11.24,25.87,49.4,14.76,216.7,10.85,24.32,13.3,2.9,0.568,1.73,0.267,5.8,1.9
Intraplate,Dacite,63.46,1.38,15.96,3.28,1.42,0.12,3.8,3.5,0.84,8.4,71.7,15.7,61.9,7.71,164.7,696,23.8,521,146,256,96.813,13.891,2.83,1.44,0.198,15.2,33.397
Cont flood Basalt,Rhyolite,65.55,1.15,12.45,2.41,0.73,0.11,3.62,3.69,0.26,10.5,69.4,15.9,15,10.4,100,140,38,253,31,67.6,31.6,6.36,1.79,2.86,0.4,5.11,6.62
Convergent margin,Andesite,59.3,1.12,19.63,4.93,2.4,0.2,0.29,2.95,0.28,NA,216,16,26,1.3,16.6,319,41.1,150,15.4,28.6,20.7,5.37,5.9,3.46,0.53,3.35,1.66
Archean craton,Basalt,55.65,0.9,14.59,7.58,4.47,0.16,2.63,2.32,0.136,26.2,215,16,59,111,109,411,21.2,97,11.6,26.7,13.5,3.14,1.07,1.74,0.27,2.7,1.7
Convergent margin,Andesite,59.7,0.91,16.1,6.56,2.46,0.04,1.84,4.48,0.21,20.1,178,16,33,3.5,17,676,12.8,102,11.5,24.1,14,3.4,1,1.51,0.22,3,2.3
Intraplate,Dacite,61.91,1.1,16.4,4.09,1.55,0.06,3.8,3.5,0.73,9.7,68.9,16.2,32.6,9.42,179,611,24,513,129,223,91.4,13.8,2.57,1.69,0.232,13.9,33.4
Intraplate,Dacite,64.11,0.53,15.26,4.32,1.92,0.1,2.4,3.17,0.1,11.4,89.7,16.2,10.3,7.11,68.4,400,20.9,187,22.3,42.3,18.2,3.9,1,2.3,0.4,5,5.1
Convergent margin,Andesite,55.4,0.56,20.1,8.82,4.24,0.18,0.54,2.94,0.17,19.593,136.687,16.281,20.711,12.947,10.326,602.428,16.909,42.822,9.26,20.84,12.746,3.129,1.013,1.685,0.263,1.287,0.653
Convergent margin,Dacite,77.2690881,0.460715908,10.43612794,0.276368627,0.342387706,0.0341,0.151521662,6.194657298,0.170762951,9.144526978,30.07627782,16.52801313,3.120764274,2.802685604,2.057458588,34.61253567,47.95308094,141.3781137,7.086765979,15.32710423,17.43420035,5.429433093,1.429493236,4.355634183,0.690160494,3.358273582,0.523649365
Convergent margin,Andesite,56.77,0.7,17.53,9.59,3.29,0.18,0.26,2.04,0.08,32.5,279.1,16.6,27.2,19.7,NA,172.6,25.3,28.9,2.48,7.34,7.55,2.75,1.07,3.53,0.48,1.22,0.15
Seamount,Rhyolite,73.81,0.28,12.93,3.61,1.09,0.07,1.44,3.41,0.06,12,47,17,NA,3,28.4,242,14,75,13.892,26.08,11.868,2.358,0.659,1.501,0.247,1.988,2.47
Convergent margin,Dacite,65.06,0.61,15.88,3.68,1.72,0.09,2.68,4.16,0.17,10,68,17,9.5,10,97.9,380,15,186,21.2,43.3,18.1,3.37,0.93,1.64,0.27,4.5,11.6
Convergent margin,Andesite,54.78,0.94,20.44,8.67,3.02,0.14,1.71,2.95,0.12,20.2,226,17,21,10,51,325,24.6,121,14.66,32.92,17.3,4.17,1.23,2.41,0.37,3.2,4.49
Convergent margin,Dacite,63,0.82,16.6,4.9,2.4,0.07,3,3.9,0.23,10.3,NA,17,11.1,5,91,527,22,189,38.7,73.4,35.2,6.34,1.32,1.81,0.23,5,8.5
Convergent margin,Dacite,62.21,1.07,15.13,4.37,1.73,0.15,1.79,4.99,0.31,15.3,104,17,9,2,48.1,189,45.6,246,20.29,46.18,25.75,6.22,1.75,4.66,0.72,5.77,5.08
Archean craton,Andesite,58.27,1.34,17.42,4.59,3.77,0.16,2.89,2.49,0.2,15.6,72.6,17.4,15.6,20.3,98.6,313,18.9,145,16.8,37.6,19.2,4.28,1.13,1.67,0.277,1.46,2.66
Convergent margin,Andesite,57.72,0.98,15.28,7.33,3.59,0.13,0.64,3.89,0.2,28.7,274,17.5,23.8,24.7,7.49,271,19.9,101,12.6,23.9,11.4,2.65,0.95,2.19,0.402,2.38,2.254
Intraplate,Rhyolite,72.69,0.38,13.19,1.29,0.37,0.04,5.33,2.63,0.11,5.9,38,17.5,3.7,12.4,129.2,197,16.1,137,26.49,48.79,20.81,3.7,0.69,1.63,0.26,4.09,12.16
Convergent margin,Andesite,52.1,0.65,19.9,8.15,3.98,0.19,0.34,2.67,0.2,21.051,147.091,17.64,22.834,15.332,8.259,621.823,15.683,44.196,9.638,20.879,12.618,3.133,1.127,1.623,0.253,1.381,1.155
Convergent margin,Dacite,64.98,0.43,17.6,5.33,1.71,0.07,1.12,4.73,0.33,10.7,65,18,NA,6,17.8,482,8.4,94,6.5,13.9,7.6,1.6,0.6,0.8,0.1,1.9,1
Convergent margin,Dacite,68.06,0.36,17.14,0.4,0.83,0.04,3.97,2.21,0.14,11.8,54,18,NA,7,179,424,33,222,58,120,50.6,9.8,1.57,2.88,0.4,6.62,22
Archean craton,Andesite,59.2,2.06,13.9,8.53,2.41,0.18,0.59,3.54,0.33,32,268,18,41,12,20,177,35,107,9.8,23.3,16.2,4.7,1.63,3.89,0.64,2.9,0.7
